OBJECTID *,OBJECTID,DB,pedon_id,obs_date,x_std,y_std,cl,si,sa,Shape *,Y,X,IAphysregionsv4,IA_slp9m,IA_rel135m,IA_prc63m,TWI30m,IA_DHPFP,Cedar,Nish,DesMoines,Iowa2,Missouri2
95,1362,NASIS,88IA177014,32483,-92.02861,40.701111,18,79,3,Point,4506032,582064.3,12,3.139802,7.380005,0.000333,7.900084,3,-86267.73,288325.3,-3883.298,-86068.93,314684.7
96,581,NASIS,85IA1770015,31352,-91.933334,40.716667,39,<Null>,<Null>,Point,4507853,590092.3,12,6.57084,-6.249969,-0.001579,15.62079,3,-79682.18,294776.6,1640.122,-79415.93,322828.3
97,582,NASIS,85IA1770016,31352,-91.933334,40.716667,39,<Null>,<Null>,Point,4507853,590092.3,12,6.57084,-6.249969,-0.001579,15.62079,3,-79682.18,294776.6,1640.122,-79415.93,322828.3
98,1058,NASIS,92IA177065,33835,-91.81472,40.742222,20,45,35,Point,4510817,600073.3,16,5.533626,-1.019989,0.001241,5.922642,3,-71474.33,302582.3,3889.73,-70718.67,332916.3
99,1061,NASIS,92IA177068,33836,-91.852776,40.711666,10,25,65,Point,4507382,596902.3,12,17.393035,-16.95001,-0.004201,6.879009,3,-76077.98,301121.2,-670.8204,-75349.91,329612.2
100,185,NASIS,S1992IA177003,33896,-91.766113,40.692223,22,48,30,Point,4505324,604255.3,16,15.281797,-3.850006,-0.004707,18.10587,3,-74095.07,308617.7,989.9495,-71270.54,336864.7
101,186,NASIS,S1992IA177005,33896,-91.778336,40.702778,28,57,15,Point,4506482,603205.3,16,27.997119,3.099976,0.002882,5.726644,3,-73528.5,307202.4,1486.607,-71231.24,335888.3
102,1059,NASIS,92IA177066,33835,-91.766113,40.692223,15,25,60,Point,4505324,604255.3,16,15.281797,-3.850006,-0.004707,18.10587,3,-74095.07,308617.7,989.9495,-71270.54,336864.7
103,1060,NASIS,92IA177067,33835,-91.779724,40.702221,22,75,3,Point,4506419,603088.3,16,8.951195,12.60999,0.002384,5.662042,3,-73664.78,307154.3,1360.147,-71372.62,335786
104,1066,NASIS,92IA177073,33896,-91.766113,40.692223,22,48,30,Point,4505324,604255.3,16,15.281797,-3.850006,-0.004707,18.10587,3,-74095.07,308617.7,989.9495,-71270.54,336864.7
105,1067,NASIS,92IA177074,33896,-91.778336,40.702778,26,59,15,Point,4506482,603205.3,16,27.997119,3.099976,0.002882,5.726644,3,-73528.5,307202.4,1486.607,-71231.24,335888.3
106,14146,NCSS,S1992IA177003,10/19/1992,-91.766113,40.692223,15,46.1,38.9,Point,4505324,604255.3,16,15.281797,-3.850006,-0.004707,18.10587,3,-74095.07,308617.7,989.9495,-71270.54,336864.7
107,14147,NCSS,S1992IA177005,10/19/1992,-91.778336,40.702778,21.7,42.7,35.6,Point,4506482,603205.3,16,27.997119,3.099976,0.002882,5.726644,3,-73528.5,307202.4,1486.607,-71231.24,335888.3
108,13416,NASIS,1969IA071001,25483,-95.73745,40.731728,10.8,78.400002,10.8,Point,4512581,268831.2,8,0.203879,0.040039,0.000118,7.911254,6,-338191.6,-12100,-199585.9,-272885.9,9042.677
